--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log
		Log file is created at : Thu Jun 19 12:03:43 2025
--------------------------------------------------------------------------------{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'pid': 9132, 'name': 'conhost.exe', 'username': None, 'vms': 1.63671875} 

{'pid': 9148, 'name': 'Dell.TechHub.Analytics.SubAgent.exe', 'username': None, 'vms': 56.53125} 

{'pid': 9160, 'name': 'conhost.exe', 'username': None, 'vms': 1.6484375} 

{'pid': 9180, 'name': 'Dell.Update.SubAgent.exe', 'username': None, 'vms': 64.71875} 

{'pid': 9208, 'name': 'conhost.exe', 'username': None, 'vms': 1.640625} 

{'pid': 9304, 'name': 'Dell.UCA.Manager.exe', 'username': None, 'vms': 54.94140625} 

{'pid': 9332, 'name': 'Dell.CoreServices.Client.exe', 'username': None, 'vms': 89.15625} 

{'pid': 9356, 'name': 'conhost.exe', 'username': None, 'vms': 1.640625} 

{'pid': 9372, 'name': 'TitanCoreSubAgent.exe', 'username': None, 'vms': 47.55859375} 

{'pid': 9400, 'name': 'Dell.Optimizer.DthProxy.exe', 'username': None, 'vms': 45.2734375} 

{'pid': 9408, 'name': 'conhost.exe', 'username': None, 'vms': 1.64453125} 

{'pid': 9432, 'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'username': None, 'vms': 118.46875} 

{'pid': 9440, 'name': 'conhost.exe', 'username': None, 'vms': 1.64453125} 

{'pid': 9472, 'name': 'conhost.exe', 'username': None, 'vms': 1.7265625} 

{'pid': 9852, 'name': 'msedgewebview2.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.29296875} 

{'pid': 9876, 'name': 'chrome.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 545.62109375} 

{'pid': 10024, 'name': 'svchost.exe', 'username': None, 'vms': 10.73046875} 

{'pid': 10056, 'name': 'VSSVC.exe', 'username': None, 'vms': 2.41796875} 

{'pid': 10220, 'name': 'svchost.exe', 'username': None, 'vms': 3.5} 

{'pid': 10296, 'name': 'taskhostw.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 9.3984375} 

{'pid': 10304, 'name': 'mc-fw-host.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 10.75} 

{'pid': 10308, 'name': 'svchost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 10.2265625} 

{'pid': 10328, 'name': 'WavesSvc64.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 93.16015625} 

{'pid': 10348, 'name': 'svchost.exe', 'username': None, 'vms': 2.5234375} 

{'pid': 10528, 'name': 'SearchHost.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 77.22265625} 

{'pid': 10548, 'name': 'unsecapp.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 2.234375} 

{'pid': 10576, 'name': 'PowerToys.Peek.UI.exe', 'username': 'DESKTOP-I3IPA56\\Riya', 'vms': 49.015625} 

{'pid': 10596, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 38.32421875} 

